Episode,Reward,Steps,,,
377,-83.67909099,1600,,,
378,-77.4015324,1600,,,
379,-7.490916971,55,,,
380,-10.71199715,46,,,
381,-90.66704217,1600,,,
382,-86.74143831,1600,,,
383,-2.248413516,91,,,
384,-79.59943917,1600,,,
385,-81.75497403,1600,,,
386,-88.63933296,1600,,,
387,-70.75305572,1600,,,
388,-18.50513942,102,,,
389,-86.7034002,1600,,,
390,-2.929400162,154,,,
391,-3.844270404,67,,,
392,-15.34330471,63,,,
393,-90.89474868,1600,,,
394,-12.86028418,62,,,
395,-5.255144958,59,,,
396,-5.312507393,40,,,
397,-79.78522497,1600,,,
398,-2.105701512,127,,,
399,-24.61892532,98,,,
400,-79.70887351,1600,,,
401,-77.00112845,1600,,,
402,-65.77005578,823,,,
403,-7.330469401,63,,,
404,-90.18448322,1600,,,
405,-85.80475977,1600,,,
406,-5.054889979,82,,,
407,-6.720475876,94,,,
408,-9.667162231,65,,,
409,-79.25477153,1600,,,
410,-81.19658441,1600,,,
411,-2.016785309,94,,,
412,-8.061394212,63,,,
413,-85.43802604,1600,,,
414,-7.096370403,111,,,
415,-16.52478253,61,,,
416,-78.34756929,1600,,,
417,-7.246422276,98,,,
418,-82.16559745,1600,,,
419,-0.19026899,135,,,
420,-12.85465111,55,,,
421,-13.88458464,49,,,
422,1.579174411,100,,,
423,-16.12357922,66,,,
424,-17.34173131,94,,,
425,-2.327283044,96,,,
426,-2.647716977,118,,,
427,-6.897125239,58,,,
428,-80.28109546,1600,,,
429,-16.37650092,66,,,
430,-81.4730395,1600,,,
431,-10.42065351,56,,,
432,-7.200817788,55,,,
433,-13.12559496,57,,,
434,-5.153993132,86,,,
435,-88.27525458,1600,,,
436,-95.8408077,1600,,,
437,-14.71964359,65,,,
438,-1.579315397,73,,,
439,-12.3543665,52,,,
440,-75.59478737,1600,,,
441,-78.22586382,1600,,,
442,-72.22819566,1600,,,
443,-3.177861096,68,,,
444,-2.323457314,63,,,
445,-19.72578089,98,,,
446,-0.420432156,61,,,
447,-79.7348516,1600,,,
448,-5.017317471,88,,,
449,-11.81417797,48,,,
450,-7.337442976,129,,,
451,-72.72002838,1600,,,
452,-10.15915984,58,,,
453,-0.658852908,77,,,
454,-80.43420529,1600,,,
455,-1.778438711,79,,,
456,-90.95462971,1600,,,
457,-3.371430059,79,,,
458,-82.27300426,1600,,,
459,-17.8671303,77,,,
460,-77.96946683,1600,,,
461,-0.322134045,90,,,
462,-85.38985419,1600,,,
463,-2.558187001,79,,,
464,-2.815205924,72,,,
465,-1.378534988,64,,,
466,-23.05650442,82,,,
