Episode,Reward,Steps,,,
601,-78.11823017,1600,,,
602,-65.52318553,1281,,,
603,-24.13769026,326,,,
604,-80.3806066,1600,,,
605,-64.75129085,1600,,,
606,-77.00928771,1600,,,
607,-68.53599605,1600,,,
608,-78.42765962,1600,,,
609,-78.97882646,1600,,,
610,-14.44953166,239,,,
611,-73.19955347,1600,,,
612,-87.91418863,1600,,,
613,-69.4101669,1600,,,
614,-15.65981026,244,,,
615,-72.7607019,1600,,,
616,-16.00206913,233,,,
617,-11.63859462,301,,,
618,-69.56805131,1600,,,
619,-68.71932141,1435,,,
620,-75.18918504,1600,,,
621,-13.68343142,238,,,
622,-63.1721027,1600,,,
623,-15.09638237,239,,,
624,-17.55933015,343,,,
625,-19.20956817,323,,,
626,-64.55077246,1600,,,
627,-64.79567719,1600,,,
628,-71.30515655,1600,,,
629,-75.91556069,1600,,,
630,-13.0510771,238,,,
631,-70.53525335,1600,,,
632,-68.92652906,1600,,,
633,-69.24588594,1600,,,
634,-66.73755376,1600,,,
635,-70.96434723,1600,,,
636,-72.12023552,1600,,,
637,-15.82364667,232,,,
638,-12.33629121,298,,,
639,-66.49121736,1600,,,
640,-71.08029298,1600,,,
641,-70.74500845,1600,,,
642,-69.30956749,1600,,,
643,-73.3681549,1600,,,
644,-74.85246103,1600,,,
645,-16.01689933,244,,,
646,-15.40197859,236,,,
647,-73.18028347,1600,,,
648,-79.42752333,1600,,,
649,-13.53998702,311,,,
650,-76.93286094,1600,,,
651,-15.77874134,233,,,
652,-67.72206674,1600,,,
653,-73.91832986,1600,,,
654,-71.30238604,1600,,,
655,-57.29755822,1112,,,
656,-28.76170738,473,,,
657,-77.15138266,1438,,,
658,-76.92704987,1600,,,
659,-73.74141941,1600,,,
660,-70.57430859,1600,,,
661,-70.52445109,1600,,,
662,-88.19759686,1518,,,
663,-74.28326117,1600,,,
664,-63.90210982,1600,,,
665,-14.17858664,238,,,
666,-79.87844752,1516,,,
667,-76.57570655,1600,,,
668,-83.16401336,1600,,,
669,-13.71105287,236,,,
670,-79.98483643,1600,,,
671,-72.66522992,1352,,,
672,-76.33764804,1600,,,
673,-15.40944478,233,,,
674,-11.61410695,294,,,
675,-75.48955076,1600,,,
676,-69.08481159,1600,,,
677,-13.85746304,232,,,
678,-11.61565485,294,,,
679,-67.85035534,1600,,,
680,-67.81253098,1600,,,
681,-78.17822434,1600,,,
682,-15.02392275,239,,,
683,-68.99488735,1600,,,
684,-71.17149183,1600,,,
685,-14.94741037,239,,,
686,-14.28476078,241,,,
687,-33.40140894,401,,,
