Episode,Reward,Episode Steps,Average Rollout Steps,Reward Std
297,11.35871554,624,936.65625,56.0075779
298,194.8760915,1600,928.71875,55.0986178
299,130.6316857,1384,899.03125,49.05513268
300,129.055834,1600,868.1875,53.45369777
301,179.0247784,1600,816.5625,60.09402091
302,46.74184577,372,759.46875,55.38270322
303,88.4551806,777,898.375,60.95737567
304,34.97692227,1143,986.34375,52.02535688
305,149.4156442,1600,878,67.97195465
306,81.94040532,888,748,48.7401394
307,60.88408311,633,683.25,41.89052432
308,173.4418032,1600,840.1875,60.71924216
309,12.00341821,279,774.78125,54.18224863
310,10.96328595,134,803.25,55.31598415
311,138.8708388,1600,726.8125,57.55527985
312,-1.868481646,235,708.40625,60.72679427
313,-11.66147275,146,739.4375,59.93585589
314,77.20223101,1489,983.75,65.65067004
315,14.67816735,295,959,48.94503708
316,156.9980715,1149,808.9375,54.79706113
317,59.94972783,502,657.65625,43.54673662
318,161.6870093,1470,678.78125,52.21980088
319,8.36973071,152,714.375,53.44315143
320,36.51404088,848,593.21875,36.1252845
321,6.306337656,124,803.5625,46.69856033
322,133.657069,1486,890.5,46.73858511
323,16.21137411,223,681.09375,51.7782258
324,44.48840581,811,584.90625,47.84323428
325,51.06864183,438,859.59375,58.9432538
326,72.12058229,566,899.78125,65.0212746
327,16.99283896,190,820.09375,56.37215483
328,46.16192785,370,864.40625,63.91096801
329,161.7027606,1458,623.4375,63.039077
330,64.21595279,1031,740.125,55.89292291
331,74.35882424,1023,800.28125,63.31871761
332,129.3793045,1600,677.1875,59.92441619
333,201.4618008,1600,638.09375,54.55504216
334,52.05436796,401,569.1875,38.00446281
335,20.76415113,168,445.5625,35.7423246
336,-4.172946407,251,349.8125,23.76161073
337,33.68136704,327,346.9375,29.57835466
338,61.34814953,519,474.28125,48.68762512
339,208.2271223,1600,600.09375,50.47729682
340,140.6545033,1467,722.625,45.48266662
341,133.7822792,1568,538.46875,42.18863181
342,127.5100677,851,916.125,57.31719556
343,72.42111756,701,776,47.5384577
344,54.81930968,436,781.625,46.47711233
345,10.58587113,160,759.5625,58.62121781
346,70.67049094,747,939.875,55.24205821
347,105.4049911,1017,852.5625,56.05645615
348,109.8607223,1001,914.28125,56.9612001
349,152.6635309,1600,849.75,58.196141
350,32.45834373,459,616.5,41.03439502
351,8.477106597,188,819.40625,46.41450094
352,71.52921187,622,785.84375,46.44704826
353,35.42875818,287,768.125,43.15689084
354,65.69216809,1128,577.34375,35.49849585
355,94.45364126,1600,552.375,36.54352344
356,15.57770796,419,700.1875,40.97886069
357,123.6615023,1600,789.9375,43.14250006
358,33.50752478,501,960.53125,46.38956205
359,40.95550061,737,840.5625,56.66415105
360,154.7064605,1318,994.9375,51.29173231
361,58.09545444,374,751.625,45.19411771
362,137.4049248,1196,891.375,51.05974505
363,93.24997517,996,1101.75,57.81155957
364,3.594303913,123,801.625,46.58117414
365,-8.138911547,1302,845.5,50.36733523
366,169.6325675,1600,955.25,48.71549487
367,63.84355393,1600,704.21875,44.61413257
368,39.9139393,301,1068.75,49.51018574
369,74.31138314,1065,1084.4375,57.72879107
370,43.40567999,1600,1180.4375,44.41916308
371,96.4257532,979,1236.90625,48.41072482
372,64.69616221,1600,1151.96875,57.16404914
373,153.0665094,980,973.75,51.72329797
374,120.261924,1600,1038.1875,47.15702713
375,46.36764709,479,865.09375,42.51011295
376,16.35032202,314,1125.5625,52.32081722
377,178.3175228,1600,1093.5625,49.49065009
378,36.71159383,266,905.03125,51.07141229
379,70.81153308,811,963.78125,55.71867249
380,12.81929606,383,861.34375,57.39279064
381,188.8357975,1600,934.8125,68.60480156
382,128.4068762,1600,614.78125,37.37603769
383,-0.928752032,503,815.21875,55.30600774
384,109.3352147,1600,681.1875,52.16769153
385,86.96628398,975,759.0625,51.04717532
386,43.59647207,289,751.1875,69.04579394
387,68.01259684,432,853.6875,67.87277043
388,128.8781503,1343,735.65625,66.93861747
389,80.34761507,591,753.0625,49.19751753
390,191.098038,1600,849,63.93628044
391,60.30672406,1600,777.71875,57.92676786
392,165.0392898,1600,869.03125,65.76282343
393,181.7443372,1600,660.375,52.78543394
394,116.5255981,1600,873.5625,63.18687985
395,100.736768,644,719.25,56.80020296
396,101.5596393,707,478.09375,51.76557513
397,59.66733797,496,931.8125,65.72862455
398,172.911139,1234,814.9375,71.95460178
399,97.90038855,1197,728.53125,72.41228658
400,111.0437613,747,1043.0625,78.08619328
401,112.7669261,893,662.3125,61.78357314
402,199.5751185,1350,804.96875,65.16888977
403,49.85298989,336,598.59375,61.03274358
404,191.8093317,1268,677.84375,73.14225251
405,85.2455304,498,545.5625,60.02491055
406,73.38013411,473,402.65625,38.58032153
407,32.80697108,247,414.53125,54.47073526
408,5.057939872,346,533.0625,61.67015725
409,40.18250945,529,576.53125,58.71653458
410,103.0486329,1054,699.8125,55.07964003
411,44.35106552,495,615.3125,55.86948579
412,142.7997982,879,392.5625,30.59167235
413,17.40287258,173,440.90625,47.39837799
414,61.11294546,422,424.875,50.49417641
415,124.7216241,754,444.65625,43.42496629
416,35.18454796,403,386.125,33.52160106
417,29.55757056,246,487.0625,65.3334858
418,18.99349321,162,473.09375,53.57726022
419,15.19141529,152,288.53125,29.39696193
420,96.25685549,670,352.4375,26.55455518
421,25.6629056,215,284.28125,34.51150791
422,7.605102696,111,286.125,24.1569291
423,26.42530953,201,268.1875,20.10775618
424,57.95916762,473,289,23.75171886
425,51.97663182,416,313.8125,34.10566048
426,9.189594718,116,399.71875,34.04293508
427,99.11249362,876,553.125,49.34686481
428,21.68700065,340,530.125,45.20151644
429,43.21845061,437,593.65625,50.92344629
430,34.81179691,401,357.15625,38.83701277
431,92.22441949,643,440.34375,42.97468102
432,29.86134313,340,520.8125,43.20727199
433,36.26624183,414,479.1875,59.1428518
434,38.57939934,414,461.5,48.50302039
435,49.23578899,501,380.65625,34.76270033
436,197.8482178,1600,386.28125,22.88239973
437,-15.96443832,110,348.0625,33.41867305
438,155.1239624,1066,401.5,26.43951969
439,66.51520222,489,439.8125,43.82583247
440,115.3417179,945,421.5625,52.66546751
441,25.78157671,280,394.71875,31.44835103
442,65.03575384,658,331.96875,31.57753214
443,28.58772652,224,326.8125,18.32970947
444,21.2982027,275,323.8125,27.9948346
445,103.1657402,863,366.84375,28.47430288
446,-15.18084495,205,469.75,46.29411067
447,113.9733388,691,401.8125,47.38403147
448,102.5768956,639,325.40625,30.10452068
449,85.6854552,555,363.40625,45.98379974
450,10.05755338,217,367.59375,39.50280174
451,34.45268385,211,371,36.61803456
452,96.54300785,648,308.1875,33.01074671
453,158.1786835,1042,438.1875,51.61423145
454,-5.629457855,85,394.5625,50.85510213
455,103.3355846,788,403.6875,46.77222183
456,30.40605399,230,416.125,38.23405395
457,81.61654007,603,411.1875,35.48916812
458,68.26687313,711,389.1875,61.570205
459,31.90314885,334,468.40625,50.25404779
460,-16.03776404,122,506.46875,49.61091726
461,-9.748204127,114,550.78125,71.31584482
462,120.9588214,861,470.4375,63.74342103
463,78.93056826,632,607.125,65.33489615
464,144.2161704,1081,423.3125,42.95956389
465,74.97595017,473,514.125,66.44364069
466,38.86898119,373,314.125,30.62599987
467,145.7835592,865,474,46.40267781
468,38.64847714,340,460.03125,51.09133986
469,63.12608282,382,571.34375,61.90079386
470,56.68692539,646,581.1875,53.74840664
471,65.69999158,524,563.8125,65.80414993
472,61.18962144,382,567.375,65.15633412
473,64.02239387,476,592.875,67.0770334
474,76.02216198,413,560.84375,64.64172528
475,36.23559022,242,346.8125,44.18483768
476,116.7342279,651,575.9375,77.28890187
477,11.59230332,129,490.65625,50.8124276
478,25.98791327,286,601.5,65.38858609
479,65.93106559,423,666.9375,63.91471323
480,17.0889989,254,585.90625,73.54966587
481,21.02795212,203,443.625,42.26057181
482,61.5820292,607,548.28125,55.04749789
483,82.66407406,598,508.59375,66.20424209
484,-25.24515013,161,490.96875,66.47032801
485,36.88391592,224,378.625,50.96300512
486,118.0077658,860,443.0625,55.37630826
487,-14.87433104,172,515.875,54.65875521
488,8.579802774,323,389.75,55.81387993
489,40.4796027,228,606.9375,58.77700937
490,26.61296425,393,312.875,34.27482563
491,32.62364272,427,354.9375,39.18160689
492,28.58981654,456,450.21875,42.36639945
493,34.56983622,852,387.5625,30.54948952
494,18.37836868,310,491.34375,49.21336813
495,45.59074516,242,461.84375,49.78173074
496,48.70736046,375,259.71875,25.18088236
497,27.27365222,245,381.78125,40.24591385
